#{"t_start": 1781566582.5097396, "env_id": "None"}
r,l,t
-41.742415,92,488.18031
-82.416453,127,488.671484
-39.229308,97,489.05525
-22.319148,114,489.4844
-44.417233,97,489.855719
-106.514471,109,490.287876
-37.27589,123,490.743654
-37.442321,113,491.173613
-76.77546,111,491.600421
-60.058015,126,492.10253
-64.045917,120,492.545027
-103.78538,129,493.033741
-46.322122,112,493.456874
-59.577935,89,493.821209
-55.068257,110,494.230626
-23.610271,102,495.410305
-53.788397,111,495.887659
-53.223546,121,496.335199
-25.337866,113,496.754011
-31.077581,104,497.142442
-127.816511,101,497.554673
-52.968043,95,497.91006
-31.701209,106,498.310061
-51.705505,109,498.727452
-42.99048,121,499.195184
-14.557587,119,499.635523
-40.505767,110,500.032811
-83.192501,128,500.515616
-67.816743,108,504.501229
-76.147026,94,504.863798
-111.486608,110,505.314055
-82.262073,108,505.748604
-23.505162,111,506.178704
-109.848797,108,506.616206
-96.163602,124,507.86457
-75.714421,114,508.314527
-68.296218,132,508.810404
-35.043887,123,509.263661
-52.940338,101,509.663393
-24.856952,126,510.136148
-54.146025,121,510.587255
-42.789984,113,511.006041
-30.832589,123,511.504628
-17.932974,105,511.90069
-9.587021,103,512.297366
-12.29633,113,512.717223
-52.835247,133,513.232981
-48.214637,126,513.695152
-31.095294,121,514.158145
-107.852231,130,514.648307
-32.307754,135,515.15047
-15.981984,111,516.344919
-14.519268,124,516.870002
-45.399622,113,517.29522
-39.940065,103,517.684283
-58.039518,126,518.152529
0.859625,138,518.660596
-65.32673,117,519.115518
-31.827289,103,519.523174
-33.805524,110,519.938666
-30.947061,114,520.388284
28.104222,169,520.99765
-30.44477,105,521.395012
-31.603242,130,521.871483
-52.59647,124,522.356147
-24.815328,122,522.826389
-37.059685,140,523.34067
-45.041586,131,523.85145
-103.291358,132,525.151803
-25.81607,98,525.554417
-23.130451,117,525.988903
-61.472227,85,526.312756
-70.662306,93,526.677963
-44.367305,123,527.168202
-26.653687,128,527.645219
-71.038302,102,528.031754
-29.057673,108,528.431676
-34.860377,95,528.817018
-53.064386,121,529.292402
-66.299855,92,529.646709
-78.143012,121,530.099379
-124.009959,119,530.548691
-89.3595,122,531.007543
-74.173156,112,531.439966
-20.01774,98,531.833675
-59.42028,93,532.191662
-60.232661,113,532.618004
-25.344762,87,533.719405
-53.298174,113,534.201025
-17.443813,94,534.565652
-54.519178,106,534.9606
-20.327768,100,535.336753
-40.682958,107,535.773651
-15.243862,101,536.152433
-101.807325,115,536.586407
-65.760212,97,536.95786
-84.556015,118,537.423126
-71.136368,105,537.81741
-60.886566,128,538.29745
-48.433435,122,538.745757
-39.715369,99,539.146894
-13.334979,107,539.547
-67.528684,108,539.947332
-19.221436,109,540.348822
-60.731952,108,540.776313
-35.030467,114,541.196918
-28.142776,103,542.342576
-59.170483,127,542.86627
-49.644644,114,543.286506
-39.881298,116,543.717291
-37.0884,93,544.070021
-29.450013,105,544.495379
-43.985734,92,544.857371
-1.694252,116,545.278061
21.188375,126,545.739457
-24.199913,117,546.209351
-22.140849,109,546.635385
-59.770553,120,551.011084
-25.929251,113,551.441653
-70.421178,117,551.885605
-29.236428,115,552.318545
-51.859579,84,552.668484
-28.856288,94,553.031066
-14.364429,112,553.461097
-23.84634,128,554.710459
-57.041138,98,555.119222
-24.44713,122,555.582506
-19.646323,114,556.031632
-35.161251,128,556.527307
-6.673001,97,556.915538
-53.523026,126,557.397462
-0.7523,117,557.84411
-33.284535,110,558.257841
-49.478067,117,558.693705
-8.561769,128,559.174052
-38.140736,125,559.672869
-36.121138,111,560.095028
-89.661844,86,560.430546
-40.939451,110,560.854949
-51.071458,99,561.257374
